,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2009-1-1,17.12,45.0,9.27,99.98,NULL,4.04,0.0,16.8,NULL,42.0,12.1,0.2,167.9,77.93,0.0,0.0,NULL,81.65
2009-1-2,17.08,40.1,10.13,182.54,NULL,4.73,0.0,15.9,NULL,42.0,12.1,0.2,175.0,91.58,0.0,6.87,NULL,72.58
2009-1-3,14.45,48.7,10.6,205.92,NULL,4.3,0.0,17.4,NULL,43.0,12.1,0.2,146.4,129.95,61.93,8.58,NULL,74.3
2009-1-4,15.42,44.8,9.91,143.48,NULL,4.18,0.0,15.3,NULL,42.0,12.1,0.2,135.4,113.96,130.66,8.64,NULL,72.4
2009-1-5,13.56,44.3,9.63,68.29,NULL,3.99,0.0,14.0,NULL,42.0,12.1,0.2,131.2,239.59,89.17,8.64,NULL,73.96
2009-1-6,14.06,48.7,10.19,NULL,NULL,4.09,0.0,16.5,NULL,42.0,9.68,9.5,115.7,147.83,144.81,8.64,NULL,72.49
2009-1-7,15.4,0.0,6.42,86.89,NULL,3.85,0.0,19.0,NULL,51.0,9.68,9.5,110.8,147.4,0.0,8.64,NULL,74.04
2009-1-8,15.16,48.7,5.38,136.31,NULL,4.18,0.0,16.6,NULL,51.0,9.68,9.5,122.5,121.48,0.0,NULL,NULL,71.8
2009-1-9,13.64,53.1,5.58,136.31,NULL,3.77,0.0,17.6,NULL,51.0,9.68,9.5,156.8,107.83,288.31,8.64,NULL,73.61
2009-1-10,18.17,47.8,6.1,149.73,NULL,4.25,0.0,20.2,NULL,51.0,9.68,9.5,158.1,102.21,288.75,8.64,NULL,73.96
2009-1-11,17.87,47.8,7.93,192.62,NULL,4.31,0.0,18.0,NULL,50.0,9.68,9.5,173.3,109.04,288.77,8.64,NULL,71.37
2009-1-12,20.99,45.7,5.7,180.33,NULL,4.1,0.0,17.8,NULL,53.0,9.68,9.5,196.0,104.37,209.54,8.64,NULL,72.58
2009-1-13,17.35,46.5,2.43,102.86,NULL,4.44,0.0,18.2,NULL,53.0,9.68,9.5,221.6,114.22,208.22,8.64,NULL,73.09
2009-1-14,18.05,50.3,2.31,158.06,NULL,4.31,0.0,18.4,NULL,48.0,9.68,9.5,189.0,120.7,208.18,8.64,NULL,72.23
2009-1-15,15.25,49.5,2.04,127.6,NULL,4.13,0.0,16.7,NULL,50.0,9.68,9.5,181.5,147.92,208.45,8.64,NULL,73.01
2009-1-16,16.49,53.4,3.26,159.3,NULL,3.95,0.0,17.9,NULL,49.0,9.68,9.5,173.7,143.51,208.54,8.64,NULL,71.8
2009-1-17,16.72,53.1,4.21,118.74,NULL,3.98,0.0,18.5,NULL,59.0,9.68,0.2,178.2,220.58,208.93,1.0,NULL,71.54
2009-1-18,14.59,46.9,4.21,184.55,NULL,4.23,0.0,19.0,NULL,74.0,9.68,0.2,181.5,162.09,209.12,8.64,NULL,55.38
2009-1-19,13.54,46.8,4.34,115.03,NULL,5.35,0.0,19.5,NULL,75.0,9.68,0.2,188.8,174.36,209.52,8.64,NULL,15.12
2009-1-20,14.24,48.1,4.61,110.75,NULL,5.03,425.8,19.2,NULL,75.0,9.68,0.2,159.7,242.44,209.95,8.64,NULL,65.92
2009-1-21,13.95,51.4,6.64,195.57,NULL,4.37,428.0,18.8,NULL,73.0,9.68,0.2,147.9,160.62,206.43,8.64,NULL,73.09
2009-1-22,15.27,50.0,10.31,132.09,NULL,4.22,432.0,19.9,NULL,325.0,9.68,0.2,151.4,152.15,237.78,8.64,NULL,72.06
