,仁義潭水庫,劍潭水庫,南化水庫,大埔水庫,寶山水庫,寶山第二水庫,德基水庫,新山水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,澄清湖水庫,烏山頭水庫,牡丹水庫,白河水庫,石門水庫,翡翠水庫,蘭潭水庫,西勢水庫,鏡面水庫,阿公店水庫,霧社水庫,鯉魚潭水庫,鳳山水庫
2007-1-1,63.61%,NULL,82.02%,91.82%,97.63%,28.2%,NULL,91.89%,NULL,82.78%,83.69%,67.11%,NULL,100%,65.93%,70.75%,83.5%,80.57%,89.75%,75.01%,100%,NULL,75.77%,NULL,98.75%,44.52%
2007-1-2,63.21%,NULL,81.56%,91.82%,98.09%,28.32%,NULL,92.16%,NULL,82.78%,83.72%,66.97%,NULL,100%,65.29%,70.63%,83.5%,80.17%,90.01%,74.02%,100%,NULL,75.5%,NULL,98.61%,45.16%
2007-1-3,62.81%,NULL,81.05%,91.55%,98.47%,28.44%,NULL,92.65%,NULL,82.78%,83.75%,66.84%,NULL,100%,64.66%,70.87%,83.5%,80.14%,90.07%,73.04%,100%,NULL,75.1%,NULL,98.57%,44.89%
2007-1-4,62.41%,NULL,80.53%,92.08%,99.05%,28.66%,NULL,93.96%,NULL,82.78%,83.81%,66.84%,NULL,100%,64.11%,70.79%,83.79%,79.84%,90.64%,71.9%,100%,NULL,74.3%,NULL,98.35%,44.9%
2007-1-5,61.93%,NULL,80.02%,92.35%,99.29%,28.85%,NULL,95.06%,NULL,82.66%,83.84%,66.7%,NULL,100%,63.56%,70.71%,84.08%,79.45%,91.43%,70.86%,100%,NULL,74.03%,NULL,98.31%,45.6%
2007-1-6,61.46%,NULL,79.51%,92.35%,99.42%,28.95%,NULL,95.67%,NULL,82.54%,83.87%,66.65%,NULL,100%,63.01%,70.63%,84.08%,79.34%,91.94%,69.74%,100%,NULL,73.9%,NULL,98.05%,46.43%
2007-1-7,61.06%,NULL,78.98%,92.08%,99.89%,29.04%,NULL,96.11%,NULL,82.42%,83.9%,66.43%,NULL,100%,62.46%,70.51%,84.08%,79.23%,92.23%,68.77%,100%,NULL,73.77%,NULL,97.79%,46.3%
2007-1-8,60.59%,NULL,78.51%,92.08%,100%,29.07%,NULL,96.39%,NULL,82.3%,83.93%,66.24%,NULL,100%,61.91%,70.38%,84.08%,79.16%,92.36%,67.81%,100%,NULL,73.77%,NULL,97.54%,46.75%
2007-1-9,60.19%,NULL,78.03%,91.55%,99.78%,29.22%,NULL,95.56%,NULL,82.18%,83.13%,65.88%,NULL,100%,65.11%,70.26%,82.92%,79.01%,92.41%,66.57%,100%,NULL,72.83%,NULL,97.31%,47.13%
2007-1-10,59.8%,NULL,77.49%,91.29%,99.64%,29.22%,NULL,94.44%,NULL,82.06%,82.28%,65.56%,NULL,100%,69.46%,70.14%,81.77%,78.8%,92.39%,65.4%,100%,NULL,72.3%,NULL,97.06%,47.45%
2007-1-11,59.4%,NULL,76.96%,91.02%,100%,29.22%,NULL,93.79%,NULL,81.94%,81.43%,65.16%,NULL,100%,73.49%,70.02%,80.61%,78.58%,92.33%,64.38%,95.84%,NULL,NULL,NULL,96.76%,47.77%
2007-1-12,59.01%,NULL,76.44%,90.76%,100%,29.22%,NULL,93.57%,NULL,81.81%,80.58%,64.88%,NULL,100%,77.33%,69.86%,79.45%,79.08%,92.17%,63.59%,89.56%,NULL,71.37%,NULL,96.46%,47.83%
2007-1-13,58.7%,NULL,75.92%,90.23%,100%,29.22%,NULL,93.79%,NULL,81.69%,79.98%,64.52%,NULL,100%,80.48%,69.7%,78.29%,78.47%,92.12%,63.01%,90.61%,NULL,70.17%,NULL,96.21%,46.55%
2007-1-14,58.38%,NULL,75.41%,89.7%,100%,29.22%,NULL,94.67%,NULL,81.47%,80.01%,64.16%,NULL,100%,79.79%,69.54%,77.13%,78.29%,92.41%,62.44%,98.14%,NULL,69.06%,NULL,95.99%,45.41%
2007-1-15,58.07%,NULL,74.91%,89.17%,100%,29.27%,NULL,94.89%,NULL,81.36%,80.04%,63.79%,NULL,100%,79.09%,69.42%,75.98%,78.08%,92.68%,61.87%,100%,NULL,68.3%,NULL,95.66%,45.66%
2007-1-16,57.76%,NULL,74.42%,88.9%,100%,29.22%,NULL,95.61%,NULL,81.14%,80.07%,63.43%,NULL,100%,78.3%,69.38%,74.82%,77.83%,92.84%,61.08%,100%,NULL,67.76%,NULL,95.48%,45.21%
2007-1-17,57.52%,NULL,73.9%,88.64%,100%,29.05%,NULL,95.06%,NULL,81.14%,80.1%,63.02%,NULL,100%,76.94%,69.3%,73.52%,77.68%,92.94%,60.3%,100%,NULL,67.1%,NULL,95.27%,44.77%
2007-1-18,57.29%,NULL,73.37%,91.82%,100%,29.54%,NULL,95.67%,NULL,82.9%,80.13%,63.88%,NULL,100%,75.7%,69.18%,72.65%,77.72%,93.37%,59.74%,100%,NULL,66.3%,NULL,95.38%,44.84%
2007-1-19,58.07%,NULL,72.92%,89.17%,100%,30.63%,NULL,95.78%,NULL,83.98%,80.28%,64.66%,NULL,100%,74.73%,69.1%,73.66%,77.97%,94.49%,59.38%,100%,NULL,65.23%,NULL,95.7%,44.84%
2007-1-20,59.56%,NULL,72.58%,92.93%,100%,31.36%,NULL,95.67%,NULL,85.32%,80.49%,65.84%,NULL,100%,73.49%,68.94%,74.38%,79.55%,95.69%,58.96%,100%,NULL,64.7%,NULL,96.32%,45.09%
2007-1-21,59.88%,NULL,72.33%,88.11%,100%,32.73%,NULL,96.28%,NULL,86.16%,80.55%,66.61%,NULL,100%,72.43%,68.82%,74.82%,80.17%,95.1%,58.19%,100%,NULL,63.73%,NULL,96.87%,45.85%
2007-1-22,60.03%,NULL,71.89%,87.84%,100%,33.62%,NULL,97.5%,NULL,87.25%,80.64%,67.2%,NULL,100%,71.09%,68.67%,74.96%,80.57%,94.41%,57.63%,100%,NULL,63.24%,NULL,97.13%,45.92%
2007-1-23,60.11%,NULL,71.37%,87.31%,100%,34.63%,NULL,98.28%,NULL,87.97%,80.16%,67.7%,NULL,100%,72.33%,68.51%,74.96%,80.79%,93.71%,57%,100%,NULL,62.4%,NULL,97.42%,45.66%
2007-1-24,60.11%,NULL,70.83%,87.84%,100%,35.59%,NULL,97.78%,NULL,88.57%,79.65%,67.97%,NULL,100%,74.07%,68.27%,74.96%,81.2%,93.9%,56.45%,100%,NULL,61.91%,NULL,97.57%,45.98%
2007-1-25,60.03%,NULL,70.29%,87.84%,100%,36.49%,NULL,97%,NULL,88.7%,79.11%,68.11%,NULL,100%,75.89%,68.11%,75.11%,81.49%,93.82%,55.83%,100%,NULL,61.31%,NULL,97.68%,46.81%
2007-1-26,59.88%,NULL,69.76%,88.37%,99.78%,37.2%,NULL,96.17%,NULL,88.94%,78.54%,68.2%,NULL,100%,77.62%,67.99%,75.4%,81.67%,93.61%,55.07%,100%,NULL,60.7%,NULL,97.68%,46.81%
2007-1-27,59.64%,NULL,69.28%,89.43%,99.64%,37.2%,NULL,96.78%,NULL,89.06%,78.19%,67.61%,NULL,100%,76.37%,67.8%,75.4%,81.64%,93.34%,54.45%,100%,NULL,60.1%,NULL,97.72%,46.94%
2007-1-28,59.56%,NULL,68.85%,90.22%,99.64%,37.17%,NULL,96.78%,NULL,89.18%,78.24%,67.52%,NULL,100%,72.62%,67.64%,75.54%,81.6%,93.02%,54.04%,100%,NULL,59.49%,NULL,97.65%,47.58%
2007-1-29,59.4%,NULL,68.4%,90.49%,99.64%,37.12%,NULL,97.17%,NULL,89.18%,78.27%,67.43%,NULL,100%,68.41%,67.48%,75.54%,81.53%,92.68%,53.15%,100%,NULL,58.4%,NULL,97.68%,48.09%
2007-1-30,59.17%,NULL,67.93%,90.76%,100%,37.03%,NULL,97.56%,NULL,89.06%,77.71%,67.24%,NULL,100%,67.03%,NULL,75.54%,81.42%,92.25%,52.55%,100%,NULL,58.04%,NULL,97.65%,48.34%
2007-1-31,58.93%,NULL,67.45%,90.76%,100%,37.02%,NULL,96.94%,NULL,89.06%,77.12%,67.06%,NULL,100%,66.11%,67.13%,75.54%,81.27%,91.8%,51.94%,95.41%,NULL,57.07%,NULL,97.46%,48.4%
2007-2-1,58.7%,NULL,66.98%,90.76%,100%,37.01%,NULL,95.61%,NULL,89.06%,76.58%,66.88%,NULL,100%,65.21%,66.93%,75.54%,81.12%,91.3%,51.33%,88%,NULL,56.46%,NULL,97.31%,48.66%
2007-2-2,58.38%,NULL,66.51%,90.76%,99.89%,37.32%,NULL,94.72%,NULL,88.82%,75.73%,66.7%,NULL,100%,65.66%,66.78%,75.54%,80.83%,90.8%,50.8%,81.77%,NULL,55.86%,NULL,97.24%,48.28%
2007-2-3,58.15%,NULL,66.09%,90.49%,99.78%,37.63%,NULL,94.72%,NULL,88.82%,74.85%,66.38%,NULL,100%,66.29%,66.54%,75.54%,80.24%,90.28%,50.19%,77.25%,NULL,55.61%,NULL,97.02%,47.39%
2007-2-4,57.91%,NULL,65.66%,90.23%,99.78%,37.91%,NULL,95%,NULL,88.7%,74.03%,65.93%,NULL,100%,66.84%,66.31%,75.54%,79.48%,89.75%,49.53%,70.2%,NULL,54.77%,NULL,96.83%,47.07%
2007-2-5,57.6%,NULL,65.23%,89.96%,99.78%,38.17%,NULL,95.44%,NULL,88.45%,73.19%,65.56%,NULL,100%,67.39%,66.16%,75.54%,78.76%,89.2%,48.8%,66.22%,NULL,54.16%,NULL,96.57%,47.07%
2007-2-6,57.21%,NULL,64.8%,88.9%,99.78%,38.42%,NULL,94.67%,NULL,88.33%,72.32%,65.24%,NULL,100%,67.94%,65.93%,75.54%,78.04%,88.63%,48.14%,65.68%,NULL,54.28%,NULL,96.32%,46.3%
2007-2-7,56.9%,NULL,64.33%,88.37%,99.05%,38.68%,NULL,93.63%,NULL,88.21%,71.46%,64.93%,NULL,100%,68.69%,65.77%,75.54%,77.61%,88.06%,47.49%,64.97%,NULL,53.43%,NULL,96.02%,44.52%
2007-2-8,56.59%,NULL,63.85%,88.11%,98.82%,38.66%,NULL,93.14%,NULL,87.97%,70.57%,64.52%,NULL,100%,69.55%,65.58%,75.54%,77.29%,87.48%,46.83%,64.27%,NULL,52.83%,NULL,95.95%,42.72%
2007-2-9,56.35%,NULL,63.38%,87.58%,97.03%,39.02%,NULL,93.09%,NULL,87.85%,69.66%,64.07%,NULL,100%,70.52%,65.39%,75.54%,77.4%,86.89%,46.12%,63.4%,NULL,52.15%,NULL,95.73%,40.92%
2007-2-10,56.12%,NULL,62.91%,87.04%,95.12%,39.33%,NULL,92.98%,NULL,87.61%,68.78%,63.61%,NULL,100%,71.57%,65.16%,75.69%,76.79%,86.29%,45.54%,62.55%,NULL,51.6%,NULL,95.45%,40.51%
2007-2-11,55.96%,NULL,62.47%,22.98%,93.1%,39.56%,NULL,92.81%,NULL,87.37%,67.94%,63.02%,NULL,100%,72.33%,64.93%,75.69%,76.23%,85.7%,44.89%,61.75%,NULL,51.05%,NULL,95.23%,40.63%
2007-2-12,55.73%,NULL,62%,85.72%,91.07%,39.82%,NULL,92.65%,NULL,87.25%,67.04%,62.34%,NULL,100%,73.21%,64.74%,75.69%,75.31%,85.11%,44.32%,60.46%,NULL,50.61%,NULL,94.98%,40.63%
2007-2-13,55.57%,NULL,61.54%,85.19%,89.7%,39.9%,NULL,92.6%,NULL,87.13%,66.14%,61.71%,NULL,100%,74.73%,64.51%,75.69%,74.65%,84.5%,43.68%,60.36%,NULL,50.4%,NULL,94.58%,40.15%
