,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2013-1-1,7.9,40.8,11.53,144.57,188.03,5.72,36.4,13.5,NULL,44.6,7.34,0.19,178.1,159.23,212.88,12.44,0.0,84.7
2013-1-2,9.19,44.6,9.06,259.7,148.9,5.64,0.0,15.7,NULL,44.3,7.34,0.19,225.7,248.74,212.71,12.44,0.0,80.5
2013-1-3,9.74,46.3,9.17,267.06,199.15,7.88,0.0,15.7,NULL,43.6,7.34,NULL,440.2,214.7,377.05,12.44,94.78,82.15
2013-1-4,8.51,50.5,10.03,240.37,155.52,6.49,36.0,16.1,NULL,44.0,7.34,0.19,385.4,170.38,243.33,12.19,181.93,83.09
2013-1-5,10.51,50.6,9.99,290.71,209.98,6.35,35.6,15.6,NULL,44.0,7.34,0.19,390.1,242.61,634.14,10.97,179.87,83.71
2013-1-6,8.51,50.5,10.21,142.71,161.49,6.3,0.0,16.3,NULL,44.1,7.52,0.19,438.0,142.64,663.13,10.97,48.75,78.08
2013-1-7,8.69,46.0,9.83,0.0,141.09,11.05,36.0,10.1,NULL,44.2,7.52,0.19,161.6,185.58,664.23,11.72,80.59,79.29
2013-1-8,10.0,50.5,9.97,72.74,134.35,13.58,0.0,16.2,NULL,42.7,7.52,NULL,137.7,151.28,104.13,12.35,59.31,71.31
2013-1-9,9.0,50.6,10.24,89.11,97.3,24.27,36.0,19.1,NULL,43.3,7.52,0.19,129.6,150.76,0.0,12.35,0.0,63.06
2013-1-10,9.95,43.4,10.46,239.72,85.78,72.43,0.0,16.4,NULL,43.9,7.52,0.19,189.9,192.93,321.36,12.19,98.31,63.67
2013-1-11,12.75,43.3,10.04,272.79,78.19,36.87,93.0,16.5,NULL,44.0,7.52,0.19,326.3,161.74,374.43,12.35,46.11,64.5
2013-1-12,11.05,43.6,9.96,206.67,75.17,26.13,225.4,16.2,NULL,44.0,7.52,0.19,343.1,172.02,659.05,11.67,104.54,62.06
2013-1-13,10.5,43.7,10.48,219.09,194.5,13.2,225.4,15.7,NULL,44.2,7.52,0.19,300.2,216.08,657.81,11.26,163.58,61.97
2013-1-14,11.43,274.3,10.34,209.84,110.51,14.78,228.4,16.0,NULL,43.9,7.52,0.19,287.8,187.22,657.99,11.06,7.49,62.52
2013-1-15,10.89,48.6,10.66,64.75,40.18,13.51,226.0,17.2,NULL,44.1,7.52,0.19,299.4,151.89,658.98,11.06,0.0,59.8
2013-1-16,11.52,48.5,10.6,112.58,65.84,11.24,226.2,17.6,NULL,59.7,7.52,0.0,238.2,158.28,660.83,NULL,0.0,58.95
2013-1-17,11.18,44.2,7.54,150.64,92.16,6.05,228.0,16.4,NULL,59.0,7.52,0.0,200.2,207.61,582.2,11.06,0.0,59.04
2013-1-18,12.49,44.1,10.62,139.54,98.42,6.37,228.0,16.3,NULL,59.4,7.52,0.0,211.5,137.72,323.77,11.06,101.15,60.75
2013-1-19,12.75,44.2,10.71,148.0,109.38,6.17,226.8,16.6,NULL,59.2,7.52,0.0,182.0,150.24,158.03,11.06,0.0,61.31
2013-1-20,11.9,39.8,10.54,130.03,95.73,6.4,227.4,16.1,NULL,58.5,7.52,0.0,145.2,119.49,157.8,16.53,0.0,60.94
2013-1-21,10.92,48.5,9.69,164.91,99.66,6.25,133.8,17.4,NULL,323.57,7.52,0.0,144.9,162.0,158.24,18.26,108.36,63.75
2013-1-22,11.11,44.0,13.93,74.26,91.59,6.0,284.8,17.0,NULL,324.1,7.52,0.0,148.2,148.69,158.2,17.0,103.5,62.08
2013-1-23,11.82,43.7,13.55,116.02,91.84,6.35,460.2,16.3,NULL,324.3,7.52,0.0,161.2,178.76,135.5,15.99,110.96,61.02
2013-1-24,12.67,41.8,13.92,96.99,104.46,6.68,462.2,16.0,NULL,330.0,7.52,0.0,159.2,142.3,158.43,14.4,77.66,61.92
2013-1-25,11.94,39.5,15.72,89.86,45.25,6.7,463.2,16.8,NULL,324.4,7.52,0.0,155.9,203.81,158.23,11.49,98.65,62.57
2013-1-26,11.82,40.3,13.98,86.95,89.68,6.27,460.2,15.8,NULL,324.8,7.52,0.0,155.1,186.71,158.45,11.92,0.0,60.95
2013-1-27,11.34,43.1,14.21,NULL,98.76,6.95,464.8,15.6,NULL,324.7,7.52,0.0,147.4,204.16,158.67,11.88,0.0,61.54
2013-1-28,11.2,44.0,14.28,83.32,97.03,6.59,465.6,14.8,NULL,324.4,7.52,0.0,126.6,170.72,158.69,14.26,117.61,62.49
2013-1-29,9.04,52.3,19.31,71.76,134.64,6.3,468.0,16.3,NULL,324.4,7.52,0.0,123.6,208.74,158.92,19.0,0.0,61.8
2013-1-30,8.45,90.0,20.65,103.04,96.26,6.69,469.4,16.7,NULL,324.4,7.52,0.0,125.5,187.83,145.07,21.34,120.78,62.38
2013-1-31,8.77,42.9,21.15,71.76,101.78,6.32,469.6,16.6,NULL,319.6,7.52,0.0,163.4,174.26,159.05,19.87,190.08,63.51
2013-2-1,15.14,46.6,18.5,188.2,107.91,6.44,0.0,16.1,NULL,284.7,7.52,0.0,201.5,242.26,131.49,18.41,163.89,66.4
2013-2-2,15.23,42.1,13.71,78.33,107.58,6.52,0.0,14.6,NULL,284.3,7.52,0.0,187.4,313.71,159.49,15.47,0.0,69.86
2013-2-3,15.72,46.1,13.74,174.22,115.39,6.35,292.0,15.7,NULL,284.4,7.52,0.0,190.9,319.42,131.49,15.47,0.0,70.95
2013-2-4,16.36,46.2,13.6,168.87,150.0,6.33,469.6,16.0,NULL,284.7,7.52,0.0,198.8,245.51,159.58,14.48,174.94,71.19
2013-2-5,14.94,46.1,13.4,152.49,161.14,6.27,470.8,16.3,NULL,258.0,7.52,0.0,185.7,237.76,173.81,14.0,212.62,71.36
2013-2-6,13.06,50.2,12.67,125.53,177.11,6.32,NULL,15.9,NULL,257.1,7.52,0.0,183.8,283.39,147.33,14.0,264.01,86.46
2013-2-7,13.39,50.3,11.16,106.5,140.1,6.22,471.0,16.4,NULL,257.0,7.52,0.0,185.7,389.05,177.18,14.0,190.08,104.61
2013-2-8,14.16,46.8,11.96,157.77,208.22,6.58,467.4,16.3,NULL,252.2,8.17,0.0,184.5,349.4,126.54,11.4,190.08,105.89
2013-2-9,15.31,46.8,13.85,109.94,165.02,6.42,343.4,16.3,NULL,253.7,8.17,0.0,181.2,341.28,131.21,11.32,144.94,103.96
2013-2-10,14.28,36.4,11.58,222.26,152.08,5.64,0.0,12.6,NULL,253.2,8.17,0.0,193.5,197.25,131.43,10.41,190.08,103.15
2013-2-11,14.58,36.5,12.66,72.68,154.42,6.07,0.0,13.9,NULL,252.2,8.64,0.0,183.8,191.8,131.55,9.05,0.0,104.82
2013-2-12,14.53,40.3,13.85,221.53,165.11,5.88,301.0,13.1,NULL,251.6,86.4,0.0,187.0,207.36,131.43,10.72,102.83,103.3
2013-2-13,14.67,40.5,12.37,107.61,NULL,6.13,485.0,14.4,NULL,251.6,8.64,0.0,183.6,176.25,131.41,15.96,NULL,103.77
2013-2-14,13.0,40.5,11.6,202.2,NULL,5.91,480.0,14.2,NULL,252.2,8.64,0.0,188.7,213.49,131.41,20.98,190.08,104.98
2013-2-15,11.59,41.5,12.96,98.84,154.2,6.11,418.2,14.3,NULL,252.4,8.64,0.0,198.7,290.56,131.26,19.59,190.08,103.99
2013-2-16,13.12,40.5,12.31,112.39,171.94,6.22,282.8,16.1,NULL,252.5,8.64,0.0,187.0,247.88,131.38,18.58,190.08,105.53
2013-2-17,12.37,44.6,13.85,108.41,210.21,6.31,0.0,17.9,NULL,251.9,8.64,0.0,179.8,285.72,145.52,18.35,190.08,102.93
2013-2-18,8.96,48.5,13.62,142.15,188.99,6.14,0.0,17.6,NULL,251.3,8.64,0.0,179.6,386.88,173.04,16.43,190.08,108.23
2013-2-19,9.29,44.1,20.25,164.12,177.7,6.08,0.0,17.6,NULL,250.5,8.64,0.0,196.7,312.16,173.78,10.26,190.08,110.49
2013-2-20,7.05,47.3,21.78,147.74,174.1,5.94,0.0,14.4,NULL,254.2,8.64,0.0,217.4,370.74,173.49,9.77,190.08,105.19
2013-2-21,8.13,57.3,16.0,198.5,152.81,5.86,302.4,16.9,NULL,265.9,8.64,0.0,214.0,304.9,173.88,11.23,190.08,107.35
2013-2-22,9.04,47.2,16.65,174.46,103.47,12.01,470.4,15.0,NULL,266.2,8.64,0.0,213.0,307.32,159.65,9.79,190.08,107.73
2013-2-23,8.51,47.3,18.95,154.04,NULL,16.89,473.2,16.9,NULL,265.1,8.64,0.0,223.3,257.55,159.79,9.79,190.08,106.61
2013-2-24,8.19,39.4,18.51,117.66,142.39,16.99,485.2,17.1,NULL,264.2,8.64,0.0,212.0,316.22,131.57,10.45,190.08,107.08
2013-2-25,9.03,47.3,19.8,186.7,141.26,16.32,487.4,18.4,NULL,263.8,8.64,0.0,206.9,346.98,131.24,10.45,59.53,107.18
2013-2-26,9.93,43.4,24.11,172.47,129.25,16.57,480.0,18.3,NULL,264.9,8.64,0.0,199.2,275.35,131.47,13.05,0.0,107.06
2013-2-27,9.38,51.1,25.03,128.68,134.81,15.83,481.4,19.1,NULL,436.5,8.64,0.0,203.4,308.44,131.23,12.08,0.0,105.33
2013-2-28,8.87,50.3,22.2,199.34,143.25,15.61,483.6,17.7,NULL,436.5,8.64,0.0,210.3,214.96,145.45,10.71,0.0,106.98
2013-3-1,8.87,46.2,21.38,245.01,123.81,17.75,484.6,18.6,NULL,530.2,8.64,0.0,263.6,300.07,159.43,10.02,0.0,106.38
2013-3-2,8.09,38.6,22.76,220.76,125.97,16.81,484.8,17.4,NULL,536.4,8.64,0.0,268.4,267.67,144.49,9.84,0.0,104.95
2013-3-3,9.14,42.4,22.07,237.39,150.75,15.48,481.2,16.5,NULL,536.3,8.64,0.0,273.9,326.07,145.28,9.76,0.0,106.16
2013-3-4,8.51,50.1,22.21,202.35,178.5,15.79,473.6,18.1,NULL,533.3,8.64,0.0,268.3,301.36,159.51,9.76,0.0,106.43
2013-3-5,8.73,57.7,21.44,212.73,184.72,17.41,480.6,18.6,NULL,418.0,8.64,0.0,259.3,210.9,173.38,9.59,0.0,106.71
