,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2017-1-1,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-2,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-3,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-4,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-5,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-6,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-7,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-8,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-9,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-10,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-11,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-12,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-13,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-14,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-15,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-16,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-17,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-18,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-19,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-20,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-21,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-22,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
2017-1-23,2528.1,9689.26,3147.18,15000.0,13029.23,1276.0,46801.0,2998.94,5085.0,7828.0,2641.21,691.03,142.17,20134.0,33550.5,1629.0,4505.57,11546.97
