,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2011-1-1,1777.31,NULL,2065.85,NULL,NULL,884.56,36741.0,1927.8,NULL,6219.0,2223.51,639.0,39.6,18164.33,NULL,NULL,NULL,7332.79
2011-1-2,1770.95,7952.8,2055.53,NULL,NULL,882.77,36757.0,1914.7,NULL,6155.0,2216.29,639.0,47.32,18060.28,NULL,1747.88,NULL,7275.64
2011-1-3,1762.46,7906.6,2020.5,NULL,NULL,881.44,36788.0,1901.6,NULL,6099.0,2211.49,639.0,50.6,17956.6,NULL,1750.61,NULL,7215.32
2011-1-4,1756.11,7860.3,2003.47,NULL,NULL,880.12,36710.0,1888.5,NULL,6115.0,2205.49,639.0,73.92,17869.18,NULL,1745.15,NULL,7158.17
2011-1-5,1747.64,7818.7,1987.75,NULL,NULL,880.12,36741.0,1873.9,NULL,6058.0,2200.7,639.0,71.27,17782.02,NULL,1741.61,NULL,7104.19
2011-1-6,1741.29,7772.4,1973.43,NULL,NULL,878.83,36663.0,1859.4,NULL,6082.0,2194.72,639.0,67.82,17821.6,NULL,1731.24,NULL,7041.68
2011-1-7,1737.06,8196.4,1957.77,NULL,NULL,877.61,36695.0,1845.2,NULL,6034.0,2188.75,630.0,62.75,17948.65,NULL,1725.51,NULL,6980.37
2011-1-8,1734.95,8155.3,1942.81,NULL,NULL,876.29,36632.0,1832.7,NULL,6058.0,2185.18,620.0,74.87,17537.83,NULL,1717.33,NULL,6949.71
2011-1-9,1728.61,8114.2,1928.77,NULL,NULL,876.29,36648.0,1818.8,NULL,5994.0,2179.23,610.0,81.13,17451.69,NULL,1709.15,NULL,6919.07
2011-1-10,1722.28,8073.0,1913.8,13981.06,NULL,874.98,36570.0,1804.9,NULL,6026.0,2159.08,601.0,97.82,17288.0,28367.54,1703.69,NULL,6860.83
2011-1-11,1715.96,8031.9,1989.61,13957.71,NULL,874.98,36601.0,1792.4,NULL,5970.0,2163.81,591.0,101.81,17272.46,28651.95,1695.51,NULL,6854.69
2011-1-12,1713.85,7995.4,1898.49,14016.08,NULL,881.44,36274.0,1782.7,NULL,6187.0,2156.72,582.0,119.95,17459.51,28911.59,1690.05,NULL,6940.52
2011-1-13,1713.85,7968.0,1962.99,14121.14,NULL,896.22,36181.0,1820.2,NULL,6316.0,2152.0,573.0,119.95,17537.83,29050.49,1687.05,NULL,6958.92
2011-1-14,1709.64,7931.4,1984.27,14121.14,NULL,904.12,36212.0,1841.0,NULL,6251.0,2146.11,563.0,120.49,17647.84,29198.41,1684.32,NULL,6980.37
2011-1-15,1703.32,7885.7,1984.39,14264.61,NULL,908.05,35825.0,1843.8,NULL,6493.0,2139.08,553.0,121.56,17797.84,29276.85,1676.41,NULL,6958.92
2011-1-16,1699.11,7844.6,1982.6,14230.4,NULL,908.05,35425.0,1845.2,NULL,6815.0,2130.9,543.0,112.58,17892.99,29381.58,1668.23,NULL,6934.39
2011-1-17,1694.91,7808.1,1978.31,14238.95,NULL,906.77,35225.0,1843.8,NULL,6765.0,2125.08,534.0,110.49,17916.83,29460.24,1662.77,NULL,6931.32
2011-1-18,1690.7,7767.0,1971.46,14320.19,NULL,906.77,35241.0,1836.9,NULL,6444.0,2118.1,534.0,116.25,17948.65,NULL,1657.32,NULL,6912.93
2011-1-19,1684.4,7713.3,1961.95,14298.81,NULL,905.49,35103.0,1832.7,NULL,6396.0,2111.14,534.0,125.88,17940.69,NULL,1647.77,NULL,6882.29
2011-1-20,1678.11,7659.7,1951.39,14290.26,NULL,905.49,34495.0,1825.8,NULL,6436.0,2104.2,534.0,125.33,17916.83,NULL,1633.04,NULL,6842.44
2011-1-21,1673.91,7610.6,1939.21,14362.96,NULL,906.77,34329.0,1817.4,NULL,6388.0,2097.27,534.0,125.88,17885.0,NULL,NULL,NULL,6830.17
2011-1-22,1667.63,7583.8,1930.97,14392.89,NULL,905.49,33982.0,1813.3,NULL,6324.0,2090.35,534.0,131.91,17892.99,NULL,1624.31,NULL,6811.78
2011-1-23,1659.25,7552.5,1918.44,14439.92,NULL,905.49,33593.0,1806.3,NULL,6372.0,2083.44,534.0,131.36,17853.31,NULL,1621.58,NULL,6802.59
2011-1-24,1652.98,7499.0,1905.91,14409.99,NULL,902.84,33354.0,1798.0,NULL,6332.0,2077.69,534.0,128.07,17821.6,NULL,1629.5,NULL,6768.86
2011-1-25,1644.62,7449.9,1892.92,14392.89,NULL,902.84,33101.0,1788.3,NULL,6211.0,2070.81,534.0,117.31,17789.0,NULL,1642.86,NULL,6738.88
2011-1-26,1636.27,7396.3,1878.54,14422.82,NULL,901.55,32731.0,1777.2,NULL,6211.0,2062.8,534.0,100.31,17758.29,NULL,1648.59,NULL,6744.84
2011-1-27,1627.93,7342.7,1866.7,14427.1,NULL,898.98,32362.0,1766.1,NULL,6219.0,2055.95,534.0,111.01,17703.01,NULL,1659.23,NULL,6697.14
2011-1-28,1615.44,7224.2,1854.82,14384.34,NULL,897.69,31995.0,1756.4,NULL,6235.0,2049.11,534.0,107.4,17639.97,NULL,1667.68,NULL,6637.5
2011-1-29,1605.05,7224.2,1842.16,14367.23,NULL,894.93,31790.0,1745.3,NULL,6155.0,2043.43,534.0,106.38,17577.07,29802.15,1678.32,NULL,6571.9
2011-1-30,1598.82,7158.7,1829.27,14328.75,NULL,892.36,318.05,1732.8,NULL,5825.0,2040.03,534.0,112.06,17569.22,29898.81,1691.96,NULL,6503.33
2011-1-31,1592.6,7101.9,1812.01,14273.16,NULL,891.12,31426.0,1718.9,NULL,5801.0,2032.11,534.0,119.95,17553.52,29881.24,1700.42,NULL,6435.51
2011-2-1,1584.31,7049.5,1794.97,14273.16,NULL,889.5,31194.0,1708.1,NULL,5777.0,2025.38,534.0,127.52,17514.31,29705.56,1708.6,NULL,6383.22
2011-2-2,1573.97,6997.1,1777.4,14273.16,NULL,885.87,30919.0,1695.0,NULL,5690.0,2017.55,534.0,134.68,17467.34,29652.91,1711.6,NULL,6354.17
2011-2-3,1561.58,6944.7,1759.77,14109.47,NULL,884.56,30531.0,1683.1,NULL,5737.0,2011.99,534.0,141.43,17404.82,29512.74,1724.69,NULL,6313.5
2011-2-4,1553.33,6905.4,1754.29,14093.9,NULL,882.77,30173.0,1675.2,NULL,5777.0,2005.34,534.0,141.43,17365.83,29416.54,1733.15,NULL,6275.73
2011-2-5,1543.03,6859.9,1742.17,14058.88,NULL,880.12,29973.0,1664.7,NULL,NULL,1994.3,534.0,NULL,17311.32,29346.66,1746.52,NULL,6229.25
2011-2-6,1532.75,6815.3,1729.83,14043.32,NULL,878.83,29988.0,1655.5,NULL,NULL,1987.7,534.0,125.88,17264.0,29268.12,1752.24,NULL,6185.67
2011-2-7,1522.49,6768.4,1717.05,14019.97,NULL,877.61,29647.0,1645.0,NULL,5399.0,1984.4,534.0,122.64,17163.93,29163.57,1760.43,NULL,6159.95
2011-2-8,1512.25,6721.5,1700.92,13965.49,NULL,874.98,29279.0,1631.8,NULL,5606.0,1976.9,534.0,117.83,17063.53,29050.49,1757.97,NULL,6112.0
2011-2-9,1504.07,6670.4,1681.32,13926.58,NULL,872.36,28928.0,1617.4,NULL,5652.0,1966.0,534.0,116.78,NULL,28790.3,1760.7,NULL,6049.96
