,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2012-1-1,82.98 %,93.02 %,100 %,99.84 %,NULL,73.35 %,67.27 %,90.92 %,NULL,61.92 %,84.68 %,55.57 %,23.91 %,98.38 %,91.07 %,97.05 %,93.02 %,97.05 %
2012-1-2,82.39 %,92.65 %,100 %,100 %,NULL,73.35 %,67.4 %,90.56 %,NULL,61.44 %,84.55 %,55.42 %,23.16 %,98.54 %,91.07 %,97.05 %,92.44 %,96.82 %
2012-1-3,81.88 %,92.06 %,100 %,100 %,NULL,73.35 %,67.43 %,90.38 %,NULL,60.86 %,84.41 %,54.99 %,38.44 %,98.71 %,90.56 %,96.71 %,91.76 %,96.41 %
2012-1-4,81.2 %,91.67 %,100 %,100 %,NULL,73.35 %,67.52 %,90.15 %,NULL,60.4 %,84.23 %,54.7 %,46.38 %,98.79 %,90.92 %,96.36 %,91.03 %,96.22 %
2012-1-5,80.61 %,91.18 %,100 %,100 %,NULL,73.24 %,67.58 %,89.85 %,NULL,59.82 %,84.05 %,54.27 %,51.75 %,98.83 %,90.68 %,95.67 %,90.21 %,96.03 %
2012-1-6,80.02 %,90.9 %,100 %,100 %,NULL,73.35 %,67.67 %,89.91 %,NULL,59.27 %,83.92 %,53.98 %,46.64 %,98.96 %,90.78 %,95.16 %,90.82 %,96.52 %
2012-1-7,79.52 %,90.66 %,100 %,100 %,NULL,75.47 %,67.73 %,91.16 %,NULL,58.81 %,83.78 %,53.69 %,50.71 %,98.67 %,91.44 %,94.81 %,90.82 %,96.97 %
2012-1-8,78.93 %,90.27 %,100 %,99.89 %,NULL,76.96 %,67.79 %,92.34 %,NULL,58.35 %,83.65 %,53.4 %,52.53 %,97.84 %,92.26 %,94.3 %,89.75 %,97.05 %
2012-1-9,78.34 %,89.85 %,100 %,99.75 %,NULL,77.63 %,67.85 %,93.12 %,NULL,57.72 %,83.47 %,52.96 %,58.43 %,98.29 %,92.08 %,93.62 %,89.75 %,96.97 %
2012-1-10,77.84 %,89.44 %,100 %,99.86 %,NULL,78.08 %,67.91 %,93.77 %,NULL,57.14 %,83.29 %,51.23 %,59.53 %,98.88 %,91.44 %,92.94 %,89.7 %,97.01 %
2012-1-11,77 %,89.05 %,100 %,99.9 %,NULL,78.41 %,67.94 %,94.01 %,NULL,56.5 %,83.07 %,49.78 %,62.85 %,98.96 %,91.26 %,92.26 %,90.05 %,96.82 %
2012-1-12,76.33 %,88.62 %,100 %,99.99 %,NULL,78.52 %,68 %,94.32 %,NULL,55.88 %,82.89 %,48.48 %,64.55 %,98.79 %,90.97 %,91.58 %,89.04 %,96.67 %
2012-1-13,75.58 %,87.92 %,100 %,100 %,NULL,78.75 %,67.7 %,94.44 %,NULL,55.34 %,82.72 %,47.18 %,64.26 %,99.04 %,90.63 %,90.91 %,88.64 %,96.52 %
2012-1-14,74.91 %,87.68 %,100 %,100 %,NULL,78.97 %,67.7 %,94.56 %,NULL,56.97 %,82.58 %,46.02 %,65.39 %,99.21 %,89.82 %,90.41 %,87.25 %,96.41 %
2012-1-15,74.24 %,87.26 %,100 %,99.95 %,NULL,79.09 %,67.79 %,94.62 %,NULL,56.5 %,82.45 %,44.72 %,67.12 %,99.25 %,89.38 %,89.9 %,85.06 %,96.03 %
2012-1-16,73.58 %,86.79 %,100 %,100 %,NULL,79.53 %,67.67 %,95.23 %,NULL,55.88 %,82.23 %,43.56 %,73.84 %,99.08 %,89.01 %,89.23 %,82.95 %,96.52 %
2012-1-17,73.24 %,86.41 %,100 %,100 %,NULL,83.35 %,67.58 %,96.52 %,NULL,57.06 %,82.05 %,42.55 %,71.76 %,98.71 %,88.97 %,88.9 %,81.71 %,96.71 %
2012-1-18,72.75 %,86.05 %,100 %,99.85 %,NULL,85.26 %,67.55 %,97.98 %,NULL,56.24 %,81.92 %,41.68 %,62.57 %,98.25 %,88.84 %,88.4 %,79.73 %,97.27 %
2012-1-19,72.17 %,85.52 %,100 %,99.81 %,NULL,86.27 %,67.18 %,97.8 %,NULL,55.97 %,81.83 %,40.81 %,73.25 %,98.79 %,88.71 %,87.74 %,77.64 %,97.53 %
2012-1-20,71.59 %,85.1 %,100 %,99.34 %,NULL,86.94 %,66.49 %,97.56 %,NULL,58.52 %,81.48 %,40.23 %,82.04 %,99.04 %,88.55 %,87.24 %,74.75 %,97.53 %
2012-1-21,70.92 %,84.78 %,100 %,98.8 %,NULL,87.5 %,66.49 %,97.43 %,NULL,61.05 %,81.3 %,40.37 %,81.73 %,99.17 %,88.4 %,86.58 %,70.91 %,97.65 %
2012-1-22,70.18 %,84.32 %,100 %,98.31 %,NULL,88.06 %,66.49 %,97.49 %,NULL,60.3 %,81.08 %,40.37 %,82.97 %,99.46 %,88.42 %,86.08 %,66.58 %,97.72 %
2012-1-23,69.69 %,84.04 %,100 %,98.71 %,NULL,90.98 %,65.44 %,98.04 %,NULL,63.17 %,80.82 %,40.52 %,85.79 %,99.38 %,89.39 %,85.59 %,100 %,98.17 %
2012-1-24,69.27 %,83.77 %,100 %,99.07 %,NULL,99.06 %,64.7 %,97.92 %,NULL,67.12 %,80.65 %,40.66 %,83.91 %,98.83 %,89.86 %,84.93 %,100 %,98.74 %
2012-1-25,68.7 %,83.6 %,100 %,99.36 %,NULL,98.59 %,63.93 %,97.98 %,NULL,71.2 %,80.34 %,40.81 %,84.54 %,98.92 %,90.07 %,84.44 %,95.41 %,99.28 %
2012-1-26,68.2 %,83.4 %,100 %,99.34 %,NULL,96.13 %,63.99 %,97.49 %,NULL,73.91 %,80.17 %,41.1 %,84.85 %,98.79 %,89.92 %,83.95 %,90.9 %,99.47 %
2012-1-27,67.63 %,83.18 %,100 %,99.34 %,NULL,95.43 %,64.05 %,97.19 %,NULL,73.07 %,79.91 %,41.1 %,81.42 %,98.42 %,90.07 %,83.3 %,85.95 %,99.92 %
2012-1-28,66.97 %,82.94 %,100 %,99.17 %,NULL,95.31 %,63.66 %,97.01 %,NULL,72.34 %,79.69 %,41.1 %,82.66 %,98.13 %,89.92 %,82.81 %,80.86 %,100 %
2012-1-29,66.48 %,82.66 %,100 %,98.97 %,NULL,95.66 %,62.93 %,96.82 %,NULL,75.19 %,79.44 %,41.1 %,87.05 %,98.79 %,89.57 %,82.17 %,75.33 %,100 %
2012-1-30,65.99 %,82.16 %,100 %,98.8 %,NULL,95.9 %,62.22 %,96.64 %,NULL,79.04 %,79.18 %,41.1 %,79.58 %,99.25 %,89.29 %,81.68 %,70.18 %,99.92 %
2012-1-31,65.34 %,82.06 %,100 %,98.45 %,NULL,95.2 %,62.28 %,96.58 %,NULL,81.56 %,78.96 %,41.24 %,86.42 %,99.63 %,89.13 %,81.2 %,65.1 %,99.96 %
2012-2-1,64.77 %,81.74 %,100 %,97.97 %,NULL,94.14 %,62.25 %,96.46 %,NULL,80.91 %,78.71 %,41.24 %,88.33 %,99.46 %,89.08 %,80.56 %,60.5 %,99.73 %
2012-2-2,64.21 %,81.19 %,100 %,97.69 %,NULL,93.79 %,61.61 %,96.58 %,NULL,78.83 %,78.45 %,41.24 %,86.11 %,99.21 %,89.13 %,80.08 %,56.31 %,99.73 %
2012-2-3,63.56 %,80.78 %,100 %,97.52 %,NULL,94.03 %,61.12 %,96.64 %,NULL,77.53 %,78.19 %,41.24 %,87.05 %,99 %,89.63 %,79.61 %,52.22 %,99.73 %
2012-2-4,63.07 %,80.1 %,100 %,97.35 %,NULL,94.38 %,60.83 %,96.7 %,NULL,76.02 %,77.94 %,41.24 %,86.42 %,98.79 %,90.21 %,79.13 %,48.2 %,99.54 %
2012-2-5,62.43 %,79.74 %,100 %,97.12 %,NULL,94.73 %,60.17 %,96.52 %,NULL,74.43 %,77.68 %,41.24 %,85.79 %,98.5 %,90.57 %,78.81 %,44.08 %,99.62 %
2012-2-6,61.87 %,79.34 %,100 %,97.04 %,NULL,94.96 %,59.68 %,96.27 %,NULL,73.07 %,77.47 %,41.24 %,87.69 %,98.29 %,90.7 %,78.18 %,39.88 %,99.31 %
2012-2-7,61.22 %,78.89 %,100 %,97.57 %,NULL,95.31 %,59.25 %,96.58 %,NULL,71.61 %,77.22 %,41.24 %,83.91 %,98.21 %,90.39 %,77.71 %,35.38 %,99.77 %
2012-2-8,60.74 %,78.75 %,100 %,97.29 %,NULL,96.13 %,58.82 %,96.64 %,NULL,69.86 %,76.96 %,40.52 %,82.97 %,98.29 %,89.76 %,77.24 %,33.02 %,99.81 %
2012-2-9,60.42 %,78.49 %,100 %,97.23 %,NULL,96.84 %,58.33 %,96.94 %,NULL,68.53 %,76.71 %,39.94 %,82.35 %,98.21 %,90.23 %,76.61 %,33.06 %,99.92 %
2012-2-10,59.94 %,78.08 %,100 %,97.79 %,NULL,98.01 %,57.82 %,97.01 %,NULL,67.93 %,76.46 %,39.36 %,82.04 %,98.13 %,90.55 %,76.14 %,32.5 %,100 %
2012-2-11,59.31 %,77.95 %,100 %,97.93 %,NULL,98.83 %,57.31 %,96.82 %,NULL,66.11 %,76.25 %,38.78 %,77.14 %,97.92 %,90.73 %,75.67 %,30.58 %,100 %
2012-2-12,58.67 %,77.54 %,100 %,97.42 %,NULL,98.83 %,56.81 %,96.76 %,NULL,64.92 %,76 %,38.06 %,85.16 %,97.63 %,90.81 %,75.2 %,27.89 %,99.85 %
2012-2-13,58.04 %,77.18 %,100 %,96.97 %,NULL,98.12 %,56.3 %,96.33 %,NULL,63.76 %,75.83 %,37.48 %,85.16 %,97.3 %,90.86 %,74.89 %,24.8 %,99.88 %
