,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2018-1-1,64.57 %,75.22 %,43.89 %,95.71 %,97.66 %,20.45 %,52.29 %,44.79 %,2.58 %,70.68 %,78.01 %,9.41 %,17.08 %,99.61 %,90.26 %,81.72 %,92.99 %,69.56 %
2018-1-2,63.83 %,74.8 %,43.45 %,95.47 %,97.91 %,20.37 %,52.29 %,44.34 %,2.57 %,69.95 %,77.79 %,9.41 %,13.98 %,99.26 %,90.65 %,80.88 %,93.79 %,69.26 %
2018-1-3,63.08 %,74.41 %,42.89 %,95.28 %,97.1 %,20.12 %,52.35 %,43.85 %,2.57 %,69.24 %,77.52 %,9.41 %,24.21 %,98.91 %,90.7 %,80.21 %,94.48 %,68.96 %
2018-1-4,62.34 %,73.89 %,42.34 %,94.98 %,97.35 %,20.04 %,52.41 %,43.36 %,2.56 %,68.51 %,77.25 %,9.41 %,30.74 %,98.61 %,90.7 %,79.38 %,94.88 %,68.6 %
2018-1-5,61.6 %,73.66 %,41.87 %,94.79 %,97.16 %,19.87 %,52.44 %,42.89 %,2.56 %,67.9 %,77.11 %,9.41 %,25.27 %,98.52 %,90.73 %,79.21 %,95.69 %,68.3 %
2018-1-6,60.95 %,73.33 %,41.73 %,94.42 %,96.59 %,19.79 %,52.5 %,42.44 %,2.56 %,67.18 %,76.98 %,9.41 %,28.52 %,98.18 %,90.97 %,79.54 %,96.38 %,68.03 %
2018-1-7,60.62 %,73.05 %,44.56 %,94.6 %,95.53 %,20.41 %,52.56 %,43.42 %,2.71 %,66.47 %,76.75 %,9.41 %,27.69 %,99.09 %,93.81 %,80.21 %,98.53 %,68.69 %
2018-1-8,60.13 %,73.14 %,48.46 %,97.69 %,97.47 %,22.89 %,52.64 %,45.29 %,2.81 %,65.76 %,76.53 %,9.41 %,23.69 %,100 %,94.53 %,80.21 %,96.32 %,70.39 %
2018-1-9,59.89 %,73.05 %,52.98 %,99.68 %,99.37 %,32.65 %,52.79 %,46.8 %,3.02 %,65.15 %,76.35 %,9.41 %,27.15 %,97.62 %,94.9 %,80.21 %,97.19 %,72.7 %
2018-1-10,60.38 %,74.87 %,57.12 %,99.11 %,98.8 %,34.37 %,51.85 %,48.19 %,2.96 %,64.45 %,76.18 %,9.41 %,23.43 %,99.91 %,94.5 %,79.38 %,99.06 %,74.75 %
